text;normalization
apa ada nya ang salah dengan kalimat yang dik ata kan kamu;Apa ada yang salah dengan kalimat yang dikatakankamu?
bagaimana kah cara nya men dapat kan tiket kereta kamu dari mah ini;Bagaimana caranya mendapatkan tiket kereta kamu dari rumah ini?
aku bisa melakukan pekerjaan itu aku tahu tidak bisa itu membosan kan;Aku bisa melakukan pekerjaan itu, aku tahu tidak bisa itu membosankan.
bisa kah kamu men jelas kan keterangan singkat mengenai projek ini;Bisakah kamu menjelaskan keterangan singkat mengenai proyek ini?
apa kah kamu mau ikut makan malam ber sama;Apakah kamu mau ikut makan malam bersama?
apa ada nya pasar hewan men dekat sini dimana kamu dapat hewan dipelihara;Apa ada pasar hewan mendekat sini di mana kamu dapat hewan dipelihara?
terima kasih atas ban tuan nya dalam mas alah ini;Terima kasih atas bantuannya dalam masalah ini.
aku tidak hadir pergi yang tempat memadai untuk ber olahraga set iap hari dengan menggunakan kendaraan sepeda motor;Aku tidak memiliki pergi yang tempat memadai untuk berolahraga setiap hari dengan menggunakan kendaraan sepeda motor.
kamu mau kemana;Kamu mau ke mana?
apa kah and atidak tahu ber libur dulu;Apakah Anda tidak bisa berlibur dulu?
ada apa;Ada apa?
maaf aku sudah telat;Maaf, aku sudah telat.
bisa kah kamu membantu saya;Bisakah kamu membantu saya?
jangan disini;Jangan di sini.
ber apa kali harusku sampai kan ini;Berapa kali harus ku sampaikan ini?
bagaimana obrol anmu;Bagaimana obrolanmu?
kamu ingin apa;Kamu ingin apa?
bisa kah kamu tolong aku sebentar;Bisakah kamu tolong aku sebentar?
dari mana kah kamu dapat kan ide ini;Dari mana kamu dapatkan ide ini?
apa apaankamu sedang kamu ken akan;Apa apaankamu sedang kamu kenakan?
terima kasih atas ban tuan nya kami sangat menghargai nya;Terima kasih atas bantuannya, kami sangat menghargainya.
bisa kamu ulangi per kata baru tadi;Bisakah kamu ulangi perkataan baru tadi?
apa kah ini adilan;Apakah ini adilan?
jangan duduk disana kamu tidak hormat;Jangan duduk di sana, kamu tidak hormat.
bisa kah kamu men cerita kan pengalamanmu;Bisakah kamu menceritakan pengalamanmu?
mau kah kamu ikut dengan saya;Maukah kamu ikut dengan saya?
selamat pagi kak apa kabar kamu;Selamat pagi kak, apa kabar kamu?
mau kemana aku nih tongkrongannya;Mau kemana aku nih, tongkrongannya?
bang jangan marah dong maafku kamu kalo sayang hati kamu;Bang, jangan marah dong, maafku kamu kalau sayang hati kamu.
yaudah udah dulu ini ban;Yaudah, udah dulu ya, nanti ban.
perutmu kemana lapar banget nih;Perutmu kemana, lapar banget nih.
kok balik lagi sih capek sayah sayah;Kok balik lagi sih, capek saya h sayah.
astaga fly tuh itu emang kerja nya gitu;Astaga fly tuh, itu emang kerjanya gitu.
mau lanetuh udah ber apa kalimat nya yang lulus;Mau lanetuh udah berapa kalimatnya yang lulus?
bisa ini mau dimana sih;Bisa ini, mau dimana sih?
kamu mau kemane;Kamu mau ke mana?
apa yang kau ingin kan;Apa yang kau inginkan?
bisa kah kamu menolongku;Bisakah kamu menolongku?
bagaimana kabarmu;Bagaimana kabarmu?
apa agenda harimu;Apa agenda harimu?
ken apa kamu tidak datang;Kenapa kamu tidak datang?
bisa kah kamu men ungg uku;Bisakah kamu menungguku?
aku harus bagaimana;Aku harus bagaimana?
siapa bapakmu;Siapa bapakmu?
apa yang ingin aku bicara kan;Apa yang ingin aku bicarakan?
apa kabar kami ber dua;Apa kabarmu berdua?
jangan tinggal kan tugas kamu;Jangan tinggalkan tugas kamu.
bisa kah kamu membantuku sedi kit;Bisakah kamu membantu ku sedikit?
bagaimana kabar ayahmu;Bagaimana kabar ayahmu?
apa agenda kamu besok;Apa agenda kamu besok?
ken apa kamu marah pad aku;Kenapa kamu marah padaku?
bisa kah kamu men antik anku;Bisakah kamu menantikanku?
aku ber usaha member ikan sepenuh nya kerjaku;Aku berusaha memberikan sepenuhnya kerjaku.
sia paka kepalamu;Siapa kepalamu?
kamu mau ikut nonton film bioskop ber sama;Kamu mau ikut nonton film bioskop bersama?
apa ada kondisi kesehatanmu apa kah kau ter asa fit;Apa ada kondisi kesehatanmu? Apakah kamu terasa fit?
apa nya yang ingin dilakukan dalam waktu luang;Apa yang ingin dilakukan dalam waktu luang?
bisa kah kau tolong bawa kan koper ini seko lah;Bisakah kamu tolong bawakan koper ini ke sekolah?
bisa kah kamu ajar kan aku ber main gitar;Bisakah kamu ajarkan anakku bermain gitar?
apa saja kah obat yang diresepkan oleh dokter;Apa saja kah obat yang diresepkan oleh dokter?
aku nya dibobol orang tak ber tanggung jawab;Akun saya dibobol orang tak bertanggung jawab.
bisa kah kamu beli kan pensilku tidak ada;Bisakah kamu membelikan pensilku? Tidak ada.
kamera and aku dicuri maling itu;Kamera Anda telah dicuri maling itu.
harus kah kamu konfirmasi undang andari klien;Haruskah kamu konfirmasi undangan dari klien?
ber ikan ketentuan penggunaan aplikasi ini;Berikan ketentuan penggunaan aplikasi ini.
kamu ada bar ang yang ingin dibalikin;Kamu ada barang yang ingin dibalikin?
mobil nya lebih cepat dari sebelum nya;Mobilnya lebih cepat dari sebelumnya.
bisa kah kamu antar kan buk uku untukku;Bisakah kamu mengantarkan bukuku untukku?
aku yang mengundang mereka untuk makan;Aku yang mengundang mereka untuk makan.
makanan sudah siap dimakan;Makanan sudah siap dimakan.
sekedar pemberitahuan jadwal kemarin ber ubah;Sekedar pemberitahuan, jadwal kemarin berubah.
menurutmu rencana kerja ini ter lalu berat;Menurutmu, rencana kerja ini terlalu berat?
aku ber pendapat bahwa seseorang tidak boleh menyakiti orang lain;Aku berpendapat bahwa seseorang tidak boleh menyakiti orang lain.
kamu ada kata kata yang kamu ucapkan kepada saya;Kamu ada kata-kata yang kamu ucapkan kepadaku?
saat nya mulai mengerjakan tugas akhir;Saatnya mulai mengerjakan tugas akhir.
maaf aku salah mengartikan katamu;Maaf, aku salah mengartikan kata kamu.
bisa kah kamu ban tuaku memindahkan meja;Bisakah kamu membantuku memindahkan meja?
apa kabarmu;Apa kabarmu?
ada apa;Ada apa?
terima kasih;Terima kasih.
selamat pagi;Selamat pagi!
maaf kan aku;Maafkan aku.
bisa kah kamu bantu;Bisakah kamu membantu?
apa nya;Apa nya?
jangan khawatir;Jangan khawatir.
sampai sebentar lagi;Sampai sebentar lagi.
sampai kemudian;Sampai kemudian.
semoga ber hasil;Semoga berhasil!
bagaimana kabarmu;Bagaimana kabarmu?
mungkin bisa;Mungkin bisa.
boleh kah saya bantu;Bolehkah saya membantu?
apa kah anda saat ini;Apakah Anda saat ini?
sedang apa dia rumah;Sedang apa di rumah?
aku ber terima kasih;Aku berterima kasih.
yasu dah lah;Ya sudahlah.
tolong diam;Tolong diam.
cepat cepat lah;Cepat-cepatlah.
apa sih kabar anda dia semua;Apa sih kabar Anda semua?
kamu bisa kesini dari tadi surabaya gak;Kamu bisa kesini dari Tadis Surabaya gak?
apa kah kamu tahu bahwa aku udah pulang duluan;Apakah kamu tahu bahwa aku udah pulang duluan?
bisa kah kamu kasih penjelasan ten tang itu;Bisakah kamu kasih penjelasan tentang itu?
yuk kamu keliling kota terus nyari nyari toko;Yuk kamu keliling kota terus nyari-nyari toko.
sambil nya bawa pulangan kantor yang sudah dicetak;Sambilnya bawa pulangan kantor yang sudah dicetak.
apa sudah datang kan harga baru untuk bar ang ter sebut;Apa sudah datang kan harga baru untuk barang tersebut?
ada banyak bar ang menarik disana yang bisa kamu pegang;Ada banyak barang menarik di sana yang bisa kamu pegang.
kalau kamu jalan kaki syang baik aja;Kalau kamu jalan kaki sii yang baik aja.
apa kah sudah ada pembicaraan yang serius mengenai hal ter sebut;Apakah sudah ada pembicaraan yang serius mengenai hal tersebut?
ayo tunjuk kan saja kesang barumu;Ayo tunjukkan saja kesang baru mu.
ada kemungkinan akan tidak hadir besok karena sedang tanggung jawab kerja;Ada kemungkinan aku tidak hadir besok karena sedang tanggung jawab kerja.
mohon maaf sebelum nya saya tidak dapat menghadiri kesana;Mohon maaf sebelumnya, saya tidak dapat menghadiri ke sana.
harap maklum bahwa bahwa jadwal per temuan ber ubah men jadi tanggal ber ikut nya;Harap maklum, bahwasanya jadwal pertemuan berubah menjadi tanggal berikutnya.
apa ada promo atau potongan harga untuk produk ter sebut;Apa ada promo atau potongan harga untuk produk tersebut?
bisa kah anda ber ikan saya daftar harga ter baru dari makanan ini;Bisakah Anda berikan saya daftar harga terbaru dari makanan ini?
saya ingin memesan meja mereka ter baru ter dapat dalam katalog itu;Saya ingin memesan meja merek terbaru yang terdapat dalam katalog itu.
bisa kah anda tang dan membawa ini sepaket informasi dan penawaran menarik;Bisakah Anda datang dan membawa ini sepaket informasi dan penawaran menarik?
apa kah bisa jadwal per temuan bisa disesuaikan dengan tanggal dan ketersediaan saya;Apakah bisa jadwal pertemuan bisa disesuaikan dengan tanggal dan ketersediaan saya?
harus kah saya sertai kegiatan ter sebut untuk men dapat kan tiket masuk gratis;Haruskah saya sertai kegiatan tersebut untuk mendapatkan tiket masuk gratis?
apa kah and atidak merasa bahwa jalan ini men jadi jalan satu arah;Apakah Anda tidak merasa bahwa jalan ini menjadi jalan satu arah?
saya ingin datang dan melihat langsung kondisi penginapan nya;Saya ingin datang dan melihat langsung kondisi penginapannya.
apa kah ada komisi penjual anter tentu yang bisa saya sampai dengan;Apakah ada komisi penjualan tertentu yang bisa saya sampai dengan?
mengapa harus mengikuti prosedur yang rumit untuk men dapat izin pengguna situs;Mengapa harus mengikuti prosedur yang rumit untuk mendapatkan izin pengguna situs?
apa kah anda pat membuka buku point belanjaan saya untuk melihat penawaran yang ter sedia;Apakah Anda dapat membuka buku point belanjaan saya untuk melihat penawaran yang tersedia?
harap diketahui bahwa ketidakpuasan hanya ter jadi mengenai keputusan ter sebut;Harap diketahui bahwa ketidakpuasan hanya terjadi mengenai keputusan tersebut.
apa kah anda pat membantu untuk memindahkan bar ang bar ang saya;Apakah Anda dapat membantu untuk memindahkan barang-barang saya?
apa kabar ini;Apa kabar ini?
kamu mau kemana tanggal main ber main futsal ber sama;Kamu mau ke mana tanggal main bermain futsal bersama?
bisa kah kamu menolong aku menemukan kunci;Bisakah kamu menolong aku menemukan kunci?
kapan mungkin kita bisa ber temu kembali;Kapan mungkin kita bisa bertemu kembali?
bisa kah kamu membeli kan kelompok kamu makan sian gini;Bisakah kamu membelikan kelompok kamu makan siang ini?
ada yang bisa aku pegang ini;Ada yang bisa aku pegang ini?
aku harus pergi sekarang juga;Aku harus pergi sekarang juga.
apa kah kamu bisa ber temu dengan kelompok kamu besok;Apakah kamu bisa bertemu dengan kelompok kamu besok?
kamu harus segera ber pakaian santai untuk acara itu;Kamu harus segera berpakaian santai untuk acara itu.
bisa kah kamu menemukan keterangan dari temanmu;Bisakah kamu menemukan keterangan dari temanmu?
kamu mau kemana akhir pekan ini;Kamu mau ke mana akhir pekan ini?
apa yang harus aku laku kan untuk menyelamat kan pekerjaan ini;Apa yang harus aku lakukan untuk menyelamatkan pekerjaan ini?
kuharus pergi ber angkat sekarang juga;Aku harus pergi berangkat sekarang juga.
selamat pagi;Selamat pagi.
maaf kan saya saya telepon pagi ini;Maafkan saya, saya telepon pagi ini.
apa kah kamu apa kah kamu apa kah kamu apa kah kamu mau keluar ber sama dengan saya pada hari sabtu ini;Apakah kamu mau keluar bersama dengan saya pada hari Sabtu ini?
maaf sebelum nya saya tidak sengaja membuat kesalahan dalam projek ini;Maaf sebelumnya, saya tidak sengaja membuat kesalahan dalam proyek ini.
dijamin and atidak akan kecewa dengan hasil nya yang indah;Dijamin Anda tidak akan kecewa dengan hasilnya yang indah.
sebaik nya kamu terlibat dalam diskusi membahas mas alah ini;Sebaiknya kamu terlibat dalam diskusi membahas masalah ini.
ada kah uang cepat ter tuk melakukan pembayaran saat ini;Adakah uang cepat untuk melakukan pembayaran saat ini?
jangan dengar kan suara bar ang apa;Jangan dengarkan suara barang apa pun.
bisa kah kamu men jelas kan dengan jelas;Bisakah kamu menjelaskan dengan jelas?
kemaren pagi tunggu aliyah abis main bola;Kemarin pagi tingu aliyah abis main bola.
maka sih yah udah bantu kukerjain proyek nya;Makasih ya udah bantu kukerjain proyeknya.
apa kah kamu tau kapan hari ultah nya;Apakah kamu tau kapan hari ultahnya?
ayo cepetan dan terus lah ber jalan;Ayo cepetan dan teruslah berjalan.
ada kah informasi tambahan untuk kamu dari ber angkat;Adakah informasi tambahan untuk kamu dariberangkat?
cepat sambil makan sebelum pergi;Cepat sambil makan sebelum pergi.
kami mau kesini besok sore;Kami mau ke sini besok sore.
mengapa harga mobil nya sangat mahal;Mengapa harga mobilnya sangat mahal?
bagaimana ten tang proyek yang kami kerja kan;Bagaimana tentang proyek yang kami kerjakan?
jangan kabur kam udi cari cari kami;Jangan kabur, kamu dicari-cari kami.
aku senang bis aikut serta dalam acara itu;Aku senang bisa ikut serta dalam acara itu.
mau kah anda jadi teman ter baikku;Maukah Anda jadi teman terbaikku?
kemana anda pergi setelah kuliah hari ini;Kemana Anda pergi setelah kuliah hari ini?
maaf kan semasa tidi kala andi tengah kesi bukan;Maafkan semasa tidi kalaan ditengah kesibukan.
bisa kah kamu bantu mengangkat yang berat berat anter sebut;Bisakah kamu bantu mengangkat yang berat-beratan tersebut?
maka sih yah telah member ikan ban tuan kepada kami semua;Makasih ya telah memberikan bantuan kepada kami semua.
hari ini kan akak aku cemas nya yang sudah menunggu hampir masa semalam;Hari ini nanti kakakku cemasnya yang sudah menunggu hampir masa semalam.
teman sekolahku bagus nya membawa kan kue untuk dihadiahi ibu kelas;Teman sekolahku bagusnya membawakan kue untuk dihadiahi ibu kelas.
aku suka tama tidi kala penonton bersorak sewaktu kelompok teater melakukan dan semua hadir ini kelas;Aku suka mati di kala penonton bersorak sewaktu kelompok teater melakuakn dan semua hadir di kelas ini.
apa kah ada cara muda pat membantu aku beradaptasi dengan lingkungan baru ini;Apakah ada cara mudah dapat membantu aku beradaptasi dengan lingkungan baru ini?
kami semua akan tahu apa benda ter sebut diputar hingga waktu penutupan acara;Kita semua akan tahu apa bendanya tersebut diputar hingga waktu penutupan acara.
tanggung jawab kami ada lah menyediakan makanan sehat bagi anak anak yatim;Tanggung jawab kami adalah menyediakan makanan sehat bagi anak-anak yatim.
sebentar lagi surat undang andi keluar kan untuk menyikapi kenyataan ter baru ini;Sebentar lagi surat undangan akan dikeluarkan untuk menyikapi kenyataan terbaru ini.
mohon maaf yang sebesar nya dapat mengulang per tanya anter sebut;Mohon maaf yang sebesar-besarnya dapat mengulang pertanyaan tersebut?
apa kah kamu akan pergi kesini mal lagi;Apakah kamu akan pergi ke sini mall lagi?
bagaimana men capai keberhasilan dalam karirmu;Bagaimana mencapai keberhasilan dalam karirmu?
apa kah kalian ingin terhadap kegiatan olahraga;Apakah kalian tertarik terhadap kegiatan olahraga?
bisa kamu ajar kan konsep matematika ini untuk saya;Bisakah kamu ajarkan konsep matematika ini untuk saya?
ayahmu dalam per jalan andari medan;Ayahmu dalam perjalanan dari danan?
apa nya yang sudah kau kerja kan tadi;Apa yang sudah kau kerjakan tadi?
ber apa harga sebotol minuman ini;Berapa harga sebotol minuman ini?
jangan kau kasih kan tanda tangan ketemantemanku;Jangan kau kasihkan tanda tangan keteman-temanku.
kamu bisa tolong ambil kan tasku;Kamu bisa tolong ambilkan tasku.
apa kah kamu telah makan;Apakah kamu telah makan?
mau kemana;Mau ke mana?
aku senang ber temanmu dan seko lah;Aku senang berteman denganmu dan sekolah.
bisa kah kamu bantu saya;Bisakah kamu bantu saya?
ada kah restoran dekat tempat ini;Adakah restoran dekat tempat ini?
kamu bisa memulai nya;Kamu bisa memulainya.
kalian ingin ber main ber sama;Kalian ingin bermain bersama?
apa kah ini ada lah waktu yang tepat;Apakah ini adalah waktu yang tepat?
aku cair angetahu bagaimana kondisi muka bar;Aku cair angetahu bagaimana kondisimu? Kabar baik?
apa kah kamu hadir pada per temuan tadi;Apakah kamu hadir pada pertemuan tadi?
dia man letak kan toko buah ini;Di mana letak kantin buah ini?
ada hubungan antara kedua kasus ini;Ada hubungan antara kedua kasus ini?
kamu pasti menyukai nya;Kamu pasti menyukainya.
apa kah kamu tahu bahwa saya pergi mall ini;Apakah kamu tahu bahwa saya pergi mall ini?
tinggal ber apa orang yang ter sisa;Tinggal berapa orang yang tersisa?
hai apa kabar kamu hari sini;Hai, apa kabar kamu hari ini?
mohon maaf sebelum nya apa bila kalau kamu rajin menolong;Mohon maaf sebelumnya apabila kamu rajin menolong.
bukan kah kamu telah ber kata lah kalau kamu tidak mau ber temu denganku;"Bukankah kamu telah berkata, ""lah kalau kamu tidak mau bertemu denganku""?"
ayah pergi lah kesekolah sekarang jika kamu tidak mau meninggal kan kam udi ambil ayahmu;Ayah, pergilah ke sekolah sekarang jika kamu tidak mau meninggalkan kami diambil ayahmu.
jangan kamu risau kamu sudah melakukan segala nya yang bisa;Jangan kamu risau, kamu sudah melakukan segalanya yang bisa.
selamat tinggal ayuh sampai temen ber ikut nya kalau kamu ingat kepada kami saya dipermalukan kamu;Selamat tinggal Ayuh, sampai temen berikutnya kalau kamu ingat kepada kami, saya dipermalukan kamu.
terima kasih atas waktu yang telah kamu habis kan untuk kamu ter lalu baik kamu;Terima kasih atas waktu yang telah kamu habiskan untuk kamu, terlalu baik kamu.
lupa kan mas alah itu hindari ber larut dalam kesedihan;Lupakan masalah itu, hindari berlarut dalam kesedihan.
dimana saya harus bisa ber komunikasi dengan kamu;Di mana saya harus bisa berkomunikasi dengan kamu?
pagi pagi aku udah keluar rumah untuk ber angkat kesekolah;Pagi-pagi aku sudah keluar rumah untuk berangkat ke sekolah.
ayah saya sedang pergi untuk membeli kue ulang tahun adik;Ayah saya sedang pergi untuk membeli kue ulang tahun adik.
apa kah kita akan segera ber jumpa lagi setelah makan malam;Apakah kita akan segera berjumpa lagi setelah makan malam?
apa kah kamu ter lambat;Apakah kamu terlambat?
kami mau kemana;Kami mau ke mana?
bisa ter akhir ada pukul ber apa yang mengantar kan kami;Bisakah terakhir ada pukul berapa yang mengantarkan kami?
mohon maaf saya tidak ter lalu lama;Mohon maaf, saya tidak terlalu lama.
bantu anmu akan membantu saya menyelesaikan tugasku;Bantuanmu akan membantu saya menyelesaikan tugasku.
apa kah kami setuju dengan kamu harus kerja ekstra jam;Apakah kamu setuju bahwa kita harus kerja ekstra jam?
anda harus menyimpan backup file penting ini;Anda harus menyimpan backup file penting ini.
mengapa kalau kami men jawab santai;Mengapa kalau kamu menjawab santai?
saya tidak bisa menghadiri per temuan itu;Saya tidak bisa menghadiri pertemuan itu.
apa kah kau ingin pergi kemana mana;Apakah kau ingin pergi ke mana-mana?
ayah mengatakan bahwa saya harus memahami matematika dengan sebaik baik nya;Ayah mengatakan bahwa saya harus memahami matematika dengan sebaik-baiknya.
bisa ter akhir ada disini;Bisakah terakhir ada di sini?
kamu ber janji kan tidak mengecewakan kami;Kamu berjanji tidak mengecewakan kami?
ini rumah nya kakak perempuan saya yang ter kecil;Ini rumahnya kakak perempuan saya yang terkecil.
apa kah kau tahu kapan saja datang;Apakah kamu tahu kapan saja datang?
mau lah pulkambingnya mala mini;Mau lah pulkambingnya malam ini.
ada diskon besar untuk semua tiket pesawat;Ada diskon besar untuk semua tiket pesawat.
ada kah warna pilihan lain untuk baju ter sebut;Adakah warna pilihan lain untuk bajunya tersebut?
mau lah makan mie dengan sop yang pada top markotopan;Mau lah makan mie dengan sop yang padat, top markotopan.
kelihatan nya cucian kau harus dijemur dahulu;Kelihatannya cucian kamu harus dijemur dahulu.
harus siap sia pun tuk pertandingan futsal kita;Harus siap-siap untuk pertandingan futsal kita.
ingat kah kau menemukan bukumu disusun ruang tamu;Ingatkah kamu menemukan bukumu di susun ruang tamu?
pakai lah pelindung telinga untuk menghindari dari gunungan;Pakailah pelindung telinga untuk menghindari dari gunungan.
apa anda suka dengan makanan khas daerah;Apa anda suka dengan makanan khas daerah?
ber ikan surat nya kepada saya segera;Berikan suratnya kepadaku segera!
beli jambu bukti kang gunakan uang yang benar;Beli jambu buktikan gunakan uang yang benar.
kembali kan bar ang yang kau ambil segera juga kekasihku;Kembalikan barang yang kamu ambil segera juga, kekasihku!
terima kasih banyak karena undangan per nikah anmu;Terima kasih banyak karena undangan pernikahanmu.
kamu capai dimana;Kamu capai di mana?
bisa kah kutemu kan tempat parkir disini;Bisakah kutemukan tempat parkir di sini?
mau kemana andi akhir pekan ini;Mau ke mana di akhir pekan ini?
makassarnya seperti apa;Makassarnya seperti apa?
kam sia pas ayang tanggung jawab;Kami siapa yang tanggung jawab?
mau ikut dengan mobil atas atau bawah;Mau ikut dengan mobil atas atau bawah?
mau kemana;Mau ke mana?
bisa kah kamu menolong aku;Bisakah kamu menolong aku?
siapa kah pelatih baru untuk tim nasional;Siapa pelatih baru untuk tim nasional?
apa kah kalian ingin ber libur dengan kami;Apakah kalian ingin berlibur dengan kami?
bisa kah anda jelas kan penggunaan teknik ini;Bisakah Anda jelaskan penggunaan teknik ini?
bisa kah anda ban tuaku saya tugas rumah ini;Bisakah Anda bantu aku dengan tugas rumah ini?
apa kah ada harga spesial untuk produk ini;Apakah ada harga spesial untuk produk ini?
ada kah obat khas untuk penyakit ini;Adakah obat khas untuk penyakit ini?
apa kah anda memiliki teman pribadi;Apakah Anda memiliki teman pribadi?
mengapa buku ini penuh ber kas lekat;Mengapa buku ini penuh berkas lekat?
bisa kah anda membantu aku dengan soal ujian ini;Bisakah Anda membantu aku dengan soal ujian ini?
apa kah ini ada lah resmi kanal televisi yang benar;Apakah ini adalah resmi kanal televisi yang benar?
bisa kah kamu memberikanku informasi ten tang acara kecil kan berat badan;Bisakah kamu memberikan informasi tentang cara menurunkan berat badan?
kam udi sana apa ingin saya laku kan;Kamu di sana, apa yang ingin saya lakukan?
apa kah kamu terlibat dalam mas alah ini;Apakah kamu terlibat dalam masalah ini?
bisa kah anda membantu saya dengan hal ini;Bisakah kamu membantu saya dengan hal ini?
bagaimana kah hari kam udi sana;Bagaimana hari kamu di sana?
ayahku men jadi takut karena dengan dia marah;Ayahku menjadi takut karena dia marah.
apa yang kamu pikir kan mengenai kejadian ini;Apa yang kamu pikirkan mengenai kejadian ini?
apa kah kamu tahu mengenai tempat itu;Apakah kamu tahu mengenai tempat itu?
saya gelisah dengan kemungkinan ini ter jadi;Saya gelisah dengan kemungkinan ini terjadi.
apa kah kamu dengar kan musik set iap sore;Apakah kamu mendengarkan musik setiap sore?
ada yang bilang per main anter sebut menyenangkan;Ada yang bilang permainan tersebut menyenangkan.
bisa kah kamu membawa kan saya sebotol kosong;Bisakah kamu membawakan saya sebotol kosong?
apa kah kamu ada lah mahasiswa universitas negri;Apakah kamu adalah mahasiswa universitas negeri?
kamu mau kesekolah dengan bis atau yang lain;Kamu mau ke sekolah dengan bis atau yang lain?
ken apa and atidak menanggapi saya seperti itu;Kenapa kamu tidak menggapi saya seperti itu?
kamu sudah melakukan tugas sebaik mungkin;Kamu sudah melakukan tugas sebaik mungkin.
apa kah ada acara dibangun sekitar kit apa dahari sabtu;Apakah ada acara dibangun sekitar kita pada hari Sabtu?
saya akan men ungg udi sana untuk menemani menunggu saudara;Saya akan menunggu di sana untuk menemani menunggu saudara.
mohon ber ikan kata sandi akun email kamu;Mohon berikan kata sandi akun email kamu.
kamu harus membaca buku sebelum kelas dimulai;Kamu harus membaca buku sebelum kelas dimulai.
terima kasih banyak atas ban tuan nya sampai sekarang;Terima kasih banyak atas bantuannya sampai sekarang.
ayah mengajar kan aku bagaimana cara memasak;Ayah mengajarkan aku bagaimana cara memasak.
besok kamu datang kesekolah pukul setengah delapan;Besok kamu datang ke sekolah pukul setengah delapan.
maaf aku belum dapat menghadiri kan sidang per temuan besok;Maaf, aku belum dapat menghadirikan sidang pertemuan besok.
bis akan ada melihat kan tulis anter sebut dari dekat jendela;Bisakah aku melihat tulisan tersebut dari dekat jendela?
apa kah kamu bisa ber ikan aku informasi ten tang jam keberangkatan bus;Apakah kamu bisa memberikan aku informasi tentang jam keberangkatan bus?
mimpi anaku ada lah men jadi seorang pengusaha terkemuka dunia;Mimpian aku adalah menjadi seorang pengusaha terkemuka dunia.
apa kabar setelah ber tahun tahun berpisah kita akhir nya ber temu kembali;Apa kabar setelah bertahun-tahun berpisah? Kita akhirnya bertemu kembali.
terima kasih untuk bantu anmu apa kabar jika besok ada kebutuhanku;Terima kasih untuk bantuanmu. Apa kabar jika besok ada kebutuhanku?
apa kah anda per nah men dengar kan televisi berita langsung dengan guru anda;Apakah Anda pernah mendengarkan televisi berita langsung dengan guru Anda?
apa kah kamu ada lah anak yang mengiraira set iap kalimat yang diucapkan orang;Apakah kamu adalah anak yang mengira-ira setiap kalimat yang diucapkan orang?
apa kah anda pat membantuku membeli kan tiket bus untuk per jalanan besok;Apakah Anda dapat membantuku membelikan tiket bus untuk perjalanan besok?
bisa kah andi mohon untuk tidak mengganggu waktu kerjaku terima kasih;Bisakah Anda dimohon untuk tidak mengganggu waktu kerjaku? Terima kasih.
tidur dengan lampu menyala ada lah kebiasaanku ter akhir akhir ini;Tidur dengan lampu menyala adalah kebiasaanku terakhir-akhir ini.
lagu yang aku dengar kan setelah rindu terusmenerus;Lagu yang aku dengarkan setelah rindu terus-menerus.
apa kah kalian ingin santap mala mini atau memesan makan anter lebih dahulu;Apakah kalian ingin santap malam ini atau memesan makanan terlebih dahulu?
ayahku ada lah pemelihara kucing ketika ber libur;Ayahku adalah pemelihara kucing ketika berlibur.
ayah nya selalu ber kendaraan dengan cara cepat dan hati hati;Ayahnya selalu berkendara dengan cepat dan hati-hati.
aku rindu ber jalan jalan melihat pemandangan dalam kekhusyukan;Aku rindu berjalan-jalan melihat pemandangan dalam kekhusyukan.
kamu suka akan hidup ber kegiatan yang padat dan kreatif;Kami suka akan hidup berkegiatan yang padat dan kreatif.
saya suka ber kendaraan sepeda motor sekitar kota untuk menikmati waktu;Saya suka berkendara sepeda motor sekitar kota untuk menikmati waktu.
kamu mengingatku saat kami mengalami hal serupa hari itu;Kamu mengingatku saat kami mengalami hal serupa hari itu.
tidur ada lah kesukaanku mengatasi beber apa mas alah;Tidur adalah kesukaanku mengatasi beberapa masalah.
apa kah kamu akan memperbaiki kesalahan yang telah kukerjakan;Apakah kamu akan memperbaiki kesalahan yang telah ku kerjakan?
saya harus telat mengirim kan tugas kantor ini;Aku harus telat mengirimkan tugas kantor ini.
hal oke mana aja;Halo, kemana saja?
apa kabar sudah makan;Apa kabar? Sudah makan?
terima kasih atas ban tuan anda;Terima kasih atas bantuan Anda.
bagaimana harimu;Bagaimana harimu?
selamat pagi kak;Selamat pagi, Kak.
bisa kah anda membantu;Bisakah Anda membantu?
anda sudah mengirim kan email belum benar;Anda sudah mengirimkan e-mail belum benar?
ada kah yang anak baru menyenangkan;Adakah yang anak baru menyenangkan?
harus kah kamu ber temu untuk membicarakan nya;Haruskah kita bertemu untuk membicarakannya?
bisa kah anda tang pagi hari sabtu;Bisakah Anda datang pagi hari Sabtu?
apa kah kamu telah mengecek jam dia kan tasmu;Apakah kamu telah mengecek jam di akantasmu?
terima kasih atas pesan andamu;Terima kasih atas pesanannya.
maaf kan keterlambatanku;Maafkan keterlambatanku.
apa sih kabar anda ikutan nya;Apa kabar Anda hari ini?
jangan dengar kan pergaulan buruk dan jangan ikut kan dia sebaik nya;Jangan dengarkan pergaulan buruk dan jangan ikut di situ, sebaiknya.
apa nya kabar terima kasih;Apa yang kamu bater, terima kasih?
mau kemana ayah;Mau ke mana, ayah?
apa kah teman teman nya sudah sampai disana;Apakah teman-temanmu sudah sampai di sana?
bisa kemarin kau antar kan buk uku;Bisa kamu antarkan bukuku?
apa kah kamu bisa ber kata denganku;Apakah kamu bisa berkatadengan aku?
