text;labels
bisakahakumenyertamengenaitantentangacarakualifikasiolimpiadini;Bisakah aku menyertamengenai tentang cara kualifikasi Olimpiad ini?
mintamaafapakahkamumemilikiragamhidupdalamgayakehidupan;Maaf, apakah kamu memiliki ragam hidup dalam gaya kehidupan?
beritaterkiniberkaitandengankelangkaanterbarudariproduksitelpongenggam;Berita terkini berkaitan dengan kelangkaan terbaru dari produksi telepon genggam.
apakahkamudapatmembantusayamencaritokobukuyangterkenaldikota;Apakah kamu dapat membantu saya mencari toko buku yang terkenal di kota?
tanyakankepadapakcamatsayakirime-maillaporaninikepadakepalakantor;Tanyakan pada pak camat, saya kirim e-mail laporan ini kepada kepala kantor.
bisakahkamuajakakusebentaruntukmelakukanperjalanandisekitarmakam;Bisakah kamu ajak aku sebentar untuk melakukan perjalanan di sekitar makam?
mintajanganlupabahwakamuharusmengambilkeputusanhariinikamu;Mintajangan lupa bahwa kamu harus mengambil keputusan hari ini.
tanyakanpadapengawasdenganramahapakahmerekasudahmelihatpencuriansoreini;Tanyakan pada pengawas dengan ramah, apakah mereka sudah melihat pencurian sore ini?
beritapentingberkaitandengankrisiskesehatanyangmemburukdisebuahwilayah;Berita penting berkaitan dengan krisis kesehatan yang memburuk di sebuah wilayah.
apakahakumembawakandokumenpersiapanuntukrapatbesokdiolahraga;Apakah aku membawa dokumen persiapan untuk rapat besok di olahraga?
tanyakankepadakamutentangprogrambeasiswasarjanayangtersedia;Tanyakan pada kamu tentang program beasiswa sarjana yang tersedia.
mintamaafapakahkamuakanmembawakankendaraaninibersamakita;Maaf, apakah kamu akan membawakan kendaraan ini bersama kita?
beritapopulerdiputarsepanjanghariiniberkaitaneratdenganpemilihanumum;Berita populer diputar sepanjang hari ini berkaitan erat dengan pemilihan umum.
apakahkamubisamemberikanideuntukmerayakanulangtahunkawanku;Apakah kamu bisa memberikan ide untuk merayakan ulang tahun kawanku?
tanyakanpadaibumudapatkahakumerobahdesainkamarkosankutersebut;Tanyakan pada ibu, dapatkah aku merubah desain kamar kosanku tersebut?
mintabukudirekomendasikankamutentangbukuyangpatutakubaca;Mintabuku direkomendasikan kamu tentang buku yang patut aku baca.
cobaingat-ingatlagitentangnomortelponini;Coba ingat-ingat lagi tentang nomor telepon ini.
maafsebelumnyatidakbisakamuhindaridarialsepertipesawatini;Maaf sebelumnya, tidak bisa kamu hindari dari rial seperti pesawat ini.
apakahakudapatmeminjamsebelumdikutskripfilmyangkamuterbarutersebut;Apakah aku dapat meminjam sebelum di kut skrip film yang kamu terbaru tersebut?
janganseriusakudengankomentarmuiniituadalahcandatanpasedihnya;Jangan serius aku dengan komentarmu ini, itu adalah canda tanpa sedihnya.
bisakahkamuajakakumenghadiriperayadikeluargakamubesarniatasku;Bisakah kamu ajak aku menghadiri perayaan di keluarga kamu besar niatasku?
hayapakahkamutahumaksudperubahankurikulumdisekolahunini;Hai, apakah kamu tahu maksud perubahan kurikulum di sekolah ini?
bisakahkamumemberikankusaransoalmatematikayangterbarukah;Bisakah kamu memberikan saran soal matematika yang terbaru kah?
apakahkamuakanmengirimkanceritayangtelahkutuliskepenerbitbesok;Apakah kamu akan mengirimkan cerita yang telah ku tulis ke penerbit besok?
terimakasihakudapatmembantukumembawakankantungbelanjaankuterbaruini;Terima kasih aku dapat membantu ku membawakan kantung belanjaan ku terbaru ini.
janganlupamenyimpankunciroomatekamuagarkamutidakkeluar;Jangan lupa menyimpan kunci roommate kamu agar kamu tidak keluar.
bisakahkamumembantucarisebuahresepkueyangsederhanadansederhana;Bisakah kamu membantu mencari sebuah resep kue yang sederhana dan mudah?
apakahakumendapatkanberitaterbarutentangkasuskejahatanyangramaiitu;Apakah aku mendapatkan berita terbaru tentang kasus kejahatan yang ramai itu?
haybukuterimakasihbanyakatasbantuanmumendapatkantiketpertandinganini;Hai buku, terima kasih banyak atas bantuanmu mendapatkan tiket pertandingan ini.
bisakahakumendengarapaohunturanyangmengelilingidalamkampusini;Bisakah aku mendengar apa oh hanturan yang mengelilingi dalam kampus ini?
apakahakumendapatkanbantuanmuuntukmempersiapkanpresentasiterbaruini;Apakah aku mendapatkan bantuanmu untuk mempersiapkan presentasi terbaru ini?
jangankhawatirakuberencanauntukmenghadirikerumahuntukpiknik;Jangan khawatir, aku berencana untuk menghadiri ke rumah untuk piknik.
hayapakahkamumauikutdalamacarasejarahmalingterbesardalamsejarahini;Hai, apakah kamu mau ikut dalam acara sejarah maling terbesar dalam sejarah ini?
bisakahkamumemberikankucarapalingbaikuntukmengaturwaktuistirahatkukedepannya;Bisakah kamu memberikan ku cara paling baik untuk mengatur waktu istirahatku kedepannya?
apakahakubisamemintabantuanmudalammerancanglayoutdesainyangmenarikini;Apakah aku bisa meminta bantuanmu dalam merancang layout desain yang menarik ini?
janganlupamenyiapkankamerasaatkitaakankeluaruntukberlibur;Jangan lupa menyiapkan kamera saat kita akan keluar untuk berlibur.
maafakumendidikankamuuntukkelihatancaramembacasuaradalamnotbuku;Maaf, aku didikkan kamu untuk kelihatan cara membaca suara dalam not buku.
bisakahkamumemberikankamufeedbacktentangprodukterbarumu;Bisakah kamu memberikan kamu feedback tentang produk terbarumu?
apakahkamubisamemberikansarandanideuntukresepmasakanku;Apakah kamu bisa memberikan saran dan ide untuk resep masakanku?
janganlupabawabukukuuntukmembacaakuketikakamudikapal;Jangan lupa bawa buku ku untuk membaca aku ketika kamu di kapal.
terimakasihbanyakakukemarinpadamuuntukmembantudalamproyekitu;Terima kasih banyak aku kemarin pada kamu untuk membantu dalam proyek itu.
hayapakahkamuakusama-samauntukmenghadiriperjamuanmalamini;Hai, apakah kamu aku sama-sama untuk menghadiri perjamuan malam ini?
apakahkamumemilikiinformasitentangturpaketwisatayangtersedia;Apakah kamu memiliki informasi tentang tur paket wisata yang tersedia?
bolehkahakumeminjambukusajikuuntukbeberapahari;Bolehkah aku meminjam buku saja ku untuk beberapa hari?
bisakahkamuajakakumengunjungipamerankaryaseniini;Bisakah kamu ajak aku mengunjungi pameran karya seni ini?
maafapakahkamubisamemberikaninstruksibermainmusikini;Maaf, apakah kamu bisa memberikan instruksi bermain musik ini?
jangandengarkanorang-itukarenakualahyangbenar;Jangan dengarkan orang itu karena aku lah yang benar.
apakahkamudapatmembantusayamenemukanpakaianyangcocokuntukpesta;Apakah kamu dapat membantu saya menemukan pakaian yang cocok untuk pesta?
terimakasihakutidakbisadibagibicarakumengenaitugasbelajaranku;Terima kasih aku tidak bisa dibicaricara ku mengenai tugas belajarku.
hayapakahakumengajakmusebentarlagikesalonkecantikan;Hai, apakah aku mengajakmu sebentar lagi ke salon kecantikan?
apakahbukusudahdikembalikansaatnyakeperpustakaan;Apakah buku sudah dikembalikan saatnya ke perpustakaan?
jangandatangipadaharikerjamaujamuntukpembicaraantertentu;Jangan datangi pada hari kerja mau jam untu pembicaraan tertentu.
bisakahkamuajakakumengunjungitempattamasyangpopulerdiarea;Bisakah kamu ajak aku mengunjungi tempat tamasya yang populer di area?
maafapakahakumengganggumuuntuksejenakdalampekerjaanmu;Maaf, apakah aku mengganggu mu untuk sejenak dalam pekerjaanmu?
apakahkamudapatmembantuakumengurusperpanjanganpasporini;Apakah kamu dapat membantu aku mengurus perpanjangan paspor ini?
janganlupamenyimpanpakaianmuiniditempatyangteratur;Jangan lupa menyimpan pakaianmu ini di tempat yang teratur.
gimanakabarmuapakabsayatidakketemudiasekolahkemarin;Bagaimana kabarmu? Apa kabar? Sayatidak ketemudiasekolah kemarin.
bisakahkamumenolongakumemilihgaunyangcocokuntukpesta;Bisakah kamu menolong aku memilih gaun yang cocok untuk pesta?
adabanyakpengunjungdiacaramusikterbarutersebut;Ada banyak pengunjung di acara musik tersebut.
apakahkamuakansertadalamkegiatanyangakanberlangsungbesok;Apakah kamu akan sertadalam kegiatan yang akan berlangsung besok?
terimakasihatasbantuanmudalammemperbaikikendaraansaya;Terima kasih atas bantuanmu dalam memperbaiki kendaraan saya.
hay,apakahbukudisudahkubelidiperpustakaanini;Hai, apakah buku di sudah kubeli di perpustakaan ini?
bisakahkamumengantarkanakumenujuberandadepanhotelini;Bisakah kamu mengantarkan aku menuju beranda depan hotel ini?
jangandisini,akupergikeberbagaiacarahariliburmu;Jangan di sini, aku pergi ke berbagai acara liburmu.
apakahkamumenyimpanfileterbarukudivartermuat;Apakah kamu menyimpan file terbaru ku di vartermuat?
maafakumengganggudalampekerjaanrumahmu;Maaf aku mengganggu dalam pekerjaan rumahmu.
bisakahkamumemberikansarandanpendapatmengenaimasalahini;Bisakah kamu memberikan saran dan pendapat mengenai masalah ini?
janganpanik,akusudahmendapatkanpetunjukdariorangtua;Jangan panik, aku sudah mendapatkan petunjuk dari orang tua.
haysebelumnya,terimakasihbanyakuntukhadirmudikeacaraku;Hai sebelumnya, terima kasih banyak untuk kehadiranmu di acaraku.
apakahkamuakansertadalamkegiatanekskulterbarusekolahini;Apakah kamu akan sertadalamkegiatan ekskul terbaru di sekolah ini?
terimakasihataswaktudanperhatianyapadapertanyaanku;Terima kasih atas waktu dan perhatianya pada pertanyaanku.
hay,apakahkamubisamenemukantokooleholehditerdekatini;Hai, apakah kamu bisa menemukan toko oleh-oleh di terdekat ini?
bisakahkamuajakakumenikmatiwaktubersamadikeluarga;Bisakah kamu ajak aku menikmati waktu bersama di keluarga?
apakahkamutahumengenaitentangkabarberitaterebarudiwilayahkita;Apakah kamu tahu mengenai kabar berita terbaru di wilayah kita?
maafapakahakudapatpinjamsepedamotormudikalaumembawaberat;Maaf, apakah aku dapat pinjam sepeda motormu jika membawa berat?
bisakahkamuajakakumengunjungipameranlukisdisekitarkita;Bisakah kamu ajak aku mengunjungi pameran lukis di sekitar kita?
makasihpelayanannya,akurasahterimaatasbantuanmu;Makasih pelayanannya, aku rasa hati terima atas bantuanmu.
bisakahkamumemimpinkamiuntukmengunjungitempatturistikpopulerini;Bisakah kamu memimpin kami untuk mengunjungi tempat turistik populer ini?
apakahkamumemilikirekomendasitempatmakanterbaikdikotaini;Apakah kamu memiliki rekomendasi tempat makan terbaik di kota ini?
bolehtahuanakucurhatkantentangmasalahnyadenganmu;Boleh tahuan aku curhatkan tentang masalahnya dengan mu?
maafakuenggakbisaterimabosankalauakumelihatkamera;Maaf aku enggak bisa terima bosan kalau aku melihat kamera.
jangankhawatir,akutahumenggunakantooliniuntukpekerjaankami;Jangan khawatir, aku tahu menggunakan tool ini untuk pekerjaan kami.
bisakahakumemintabantuanmuuntukmemilihbajuterbaruku;Bisakah aku minta bantuanmu untuk memilih baju terbaru ku?
apakahkamuakanmenyediakanlayanankuriruntukpengirimankuterbaru;Apakah kamu akan menyediakan layanan kurir untuk pengiriman ku terbaru?
hay,apakabarkamuhariiniapakahkamupastiakanmenemuiakudiwaktuitu;Hai, apa kabar kamu hari ini? Apakah kamu pasti akan menemui aku di waktu itu?
maafsebelumnyakuharuspergi,adajanjibertemudenganteman;Maaf sebelumnya, aku harus pergi, ada janji bertemu dengan teman.
bisakahkamumembantukusampankemallainuntukbelanjakeperluanrumah;Bisakah kamu membantu saya sampai ke mal lain untukbelanja keperluan rumah?
apakahkamumengertibagaimanacarakerjaperalatanelektronikini;Apakah kamu mengerti bagaimana cara kerja peralatan elektronik ini?
makasihakudapatmembantukudalammerencanakanperjalanankelaskami;Makasih aku dapat membantu dalam merencanakan perjalanan kelaskami.
bolehkahakumengajakkeluargasebentarlagimengunjungikampuskami;Bolehkah aku mengajak keluarga sebentar lagi mengunjungi kampus kami?
apakahkamubisamemberikankupanduanuntukmenggunakanaplikasiini;Apakah kamu bisa memberikan panduan untuk menggunakan aplikasi ini?
terimakasihbanyakakuberterimakasihatasbantuanyaterbarumu;Terima kasih banyak, aku berterimakasih atas bantuanmu terbaru.
bisakahakumenanyakankepadamukembali,apakahkamubutuhbantuan;Bisakah aku menanyakan kepadamu kembali, apakah kamu butuh bantuan?
hayapakahkamudengarkanlagulaguterbaruyangdiputar;Hai, apakah kamu mendengarkan lagu-lagu terbaru yang diputar?
maafakumelihatmuadahtiba-tibaakuenglansensoramu;Maaf aku melihatmu ada tiba-tiba aku englan sensoramu.
bisakahkamumemberikansaranyangterbarukaitanmakanansehat;Bisakah kamu memberikan saran yang terbaru terkait makanan sehat?
cobaingatkankupadawaktukitasedangbelajarmatematikayangrumititu;Coba ingatkan ku pada waktu kita sedang belajar matematika yang rumit itu.
maafsekaliakutidakbisahadirkeacaramalampertunangankamu;Maaf sekali aku tidak bisa hadir ke acara malam pertunangan kamu.
bisakahkamumembantukudalammemilihwarnadindingyangcocokuntukkamarini;Bisakah kamu membantu ku dalam memilih warna dinding yang cocok untuk kamar ini?
apakahkamuinginsaranapakahsebaiknyasayaberbicaradengandokter;Apakah kamu ingin saran, apa sebaiknya saya berbicara dengan dokter?
terimakasihbanyakakutelahmeminjammobilkamuuntukkeperluansebentarini;Terima kasih banyak, aku telah meminjam mobil kamu untuk keperluan sebentar ini.
hayapaakamudapatmemberikankurekomendasitempatmakanenakdikotaini;Hai, apa kamu dapat memberikanku rekomendasi tempat makan enak di kota ini?
apakahkamutahukapanjadwalmaskapaiterakhirdarikuhandphoneini;Apakah kamu tahu kapan jadwal maskapai terakhir dari ku handphone ini?
bisakahkamumembantukukonfirmasikanpesananankuberikutsecepatmungkin;Bisakah kamu membantu ku konfirmasikan pesanananku berikut secepat mungkin?
maafsebelumnyainiatidakdapatmenghadirikumpulankeluargatersebut;Maaf sebelumnya, aku tidak dapat menghadirikumpulan keluarga tersebut.
apakahakudapatmeminjamuangsejenaktambahanuntukmembayartagihanini;Apakah aku dapat meminjam uang sejenak tambahan untuk membayar tagihan ini?
terimakasihataswaktudanperhatianyadalammemperbaikiperformakamudiakelasku;Terima kasih atas waktu dan perhatianya dalam memperbaiki performa ku di akelasku.
jangankhawatirakutidakakankhilangataumeninggalkanmu,akanselaluadadiinimu;Jangan khawatir, aku tidak akan hilang atau meninggalkanmu, akan selalu ada di sini mu.
bisakahkamuajakakukemuseumkesenianini;Bisakah kamu ajak aku ke museum kesenian ini?
apakahkamumemilikiperkiraanterbarutentangperkembanganekonomidikotakita;Apakah kamu memiliki perkiraan terbaru tentang perkembangan ekonomi di kota kita?
terimakasihbanyakataskesabarandankebijaksanaanmu;Terima kasih banyak atas kesabaran dan kebijaksanaanmu.
apakahakumendapatmenghubungiseminarterbaruyangkamisimpansebentarlagi;Apakah aku dapat menghubungi seminar terbaru yang kami simpan sebentar lagi?
bisakahkamumemberikankupetunjukarahmenujuterdekatrestoranyangbaikini;Bisakah kamu memberikan petunjuk arah menuju terdekat restoran yang baik ini?
maafapakahbukusudahkudapatkankeizinandaripustakawantersebut;Maaf, apakah buku sudah ku dapatkan izin dari pustakawan tersebut?
bisakahkamuajakakukepantaiuntukmelihatlautyangindahini;Bisakah kamu ajak aku ke pantai untuk melihat laut yang indah ini?
terimakasihbanyakatasbantuandarisegalakekurangansewaktumengerjakanproyekin;Terima kasih banyak atas bantuan dari segala kekurangan sewaktu mengerjakan proyek ini.
maafakusudahtelatuntukpertemuaniniapakahkamumasihadahtersedia;Maaf, aku sudah telat untuk pertemuan ini, apakah kamu masih ada tersedia?
bisakahakumeminjampuluhandukuntukteleponbesokkarenahandphoneakubermasalah;Bisakah aku meminjam puluhan dukuntuk telepon besok karena handphone aku bermasalah.
terimakasihbanyakkamukumintaanpetunjuknyatentangcaraberjalanmenujunegeriiniberapa;Terima kasih banyak, aku ku minta an petunjuknya tentang cara berjalan menuju negeri ini berapa.
janganlupamembelikansepatuskaterbaruuntukanakperempuankubaruyangbaru;Jangan lupa membelikan sepatu skater baru untuk anak perempuanku baru yang baru.
apakahkamumauikutanacarakebaktianuntukmembantupemberantasanberantas;Apakah kamu mau ikutan acara kebaktian untuk membantu pemberantasan berantas?
hayapakahkamubisamembantuakumenggunakanperangkatlunakini;Hai, apakah kamu bisa membantu aku menggunakan perangkat lunak ini?
terimakasihbanyakatasmusikkesukanterbarumuakusukadengarkandarimusik;Terima kasih banyak atas musik kesukanterbarumu, aku suka dengarkan darimu musik.
bisakahkamuajakakumakanmalambesokpadarestoranterbaikdikota;Bisakah kamu ajak aku makan malam besok pada restoran terbaik di kota?
maafakumenggangguapakahbukusudahmerapatkebukurayuini;Maaf, aku mengganggu, apakah buku sudah merapat ke buku rayu ini?
apakahkamuakanmenghadiripestaulangtahunkuiniakumengundangkamujuga;Apakah kamu akan menghadiri pesta ulang tahunku ini? Aku mengundang kamu juga.
jangankauingatkankudengantugasbesarmingguinikarenaharusdisegerakansegera;Jangan kau ingatkan aku dengan tugas besar minggu ini karena harus disegerakan segera.
bisakahkamumemberikanbocorantentangberitaterkaitmobilterbarukamuyangakanbeli;Bisakah kamu memberikan bocoran tentang berita terkait mobil terbaru kamu yang akan beli?
terimakasihbanyakakudapatpetunjukdarimuuntukmenggunakanaplikasitersebut;Terima kasih banyak, aku dapat petunjuk darimu untuk menggunakan aplikasi tersebut.
apakahkamuakanmenemaniakumenontonpertandingansepakbolamalamininanti;Apakah kamu akan menemani aku nonton pertandingan sepak bola malam ini nanti?
jangancemasakusudahmencucikainkusendiriakandapatbersihdengansegera;Jangan cemas, aku sudah mencuci kainku sendiri, akan dapat bersih dengan segera.
bisakahkamuajakakuberbelanjakesupermarketharinitentangbahanbaku;Bisakah kamu ajak aku berbelanja ke supermarket hari ini tentang bahan baku?
maafapakahakumintaankamuuntukbantuandarikamdalamproyektersebut;Maaf, apakah aku minta an kamu untuk bantuan dari kamu dalam proyek tersebut?
apakahkamudapatmenyimpanbarang-barangakudiselamaperjalananbesokini;Apakah kamu dapat menyimpan barang-barang aku selama perjalanan besok ini?
jangankauherankanapabukumenggunakanbahasaasingkarenaakupendatangbaru;Jangan kau heran apabuku menggunakan bahasa asing karena aku pendatang baru.
bisakahkamumemintabocoranyangbaruuntukacarapentasakanakmusisi;Bisakah kamu meminta bocoran yang baru untuk acara pentas anak musisi?
ayocekdarikelaskamuapakahkamutahuapahtugasmumingguini;Ayo cek dari kelas kamu, apakah kamu tahu apa tugasmu minggu ini?
maafsebelumnyasayatelatapakahbisaakududukdisebelahmu;Maaf sebelumnya, saya telat, apakah bisa aku duduk di sebelahmu?
bisakahkamumengantarkukesekolahsebelumwaktukelasdimulai;Bisakah kamu mengantarku ke sekolah sebelum waktu kelas dimulai?
hayapakahkamuadahtahuberitaterbarudarisekitarkitaini;Hai, apakah kamu sudah tahuberita terbaru dari sekitar kita ini?
apakahkamuakandatangkepestaulangtahunkamubesarinitahun;Apakah kamu akan datang ke pesta ulang tahun kamu besar ini tahun?
terimakasihatasbantuanmudalammembereskankamarkostkami;Terima kasih atas bantuanmu dalam membersihkan kamarkost kami.
jangancemasakutidaksakithatimudalamteskesehatanini;Jangan cemas, aku tidak sakit hati kamu dalam tes kesehatan ini.
bisakahkamumembantukumencarikanbisnontondalamperjalanan;Bisakah kamu membantu ku mencarikan bis non tondalam perjalanan?
apakahkamumengetahuijawabandaripertanyaaninidalamujian;Apakah kamu mengetahui jawaban dari pertanyaan ini dalam ujian?
maafapakahkamubisamemperbaikikualitasgambarfotoini;Maaf, apakah kamu bisa memperbaiki kualitas gambar foto ini?
apakahkamumenyediakanmakanansedersanadalammenudarumah;Apakah kamu menyediakan makanan sederhana dalam menu di rumah?
bisakahkamumengingatkankunantelahmenyetujuijadwalpertemuan;Bisakah kamu mengingatkan ku telah menyetujui jadwal pertemuan?
haysebelumnyaterimakasihataswaktudanperhatianyadalampermasalahankami;Hai sebelumnya, terima kasih atas waktu dan perhatianya dalam permasalahan kami.
apakahkamubisamembantukumelakukanreservasikamarhoteldalamperjalanan;Apakah kamu bisa membantu ku melakukan reservasi kamar hotel dalam perjalanan?
jangankaukasarikutimbangkamudalammenjelaskankesalahankamudiujian;Jangan kau kasariku, timbang kamu dalam menjelaskan kesalahan kamu di ujian.
bisakahkamumembantukutemukankacameraterbaikdengankualitasterbaik;Bisakah kamu membantu ku temukan kamera terbaik dengan kualitas terbaik?
apakahkamumaukepestaolehsaudarakubermalamini;Apakah kamu mau ke pesta oleh saudaraku bermalam ini?
terimakasihakumintabantuanmusebentarlagidalammenyelesaikantugaskelasini;Terima kasih aku minta bantuanmu sebentar lagi dalam menyelesaikan tugas kelas ini.
bisakahkamuajakakuuntukmengunjungitempatwisataterbaikdisekitarkita;Bisakah kamu ajak aku untuk mengunjungi tempat wisata terbaik di sekitar kita?
maafapakahkamutahumengenaiterbarutentangperubahanjadwalkuliahkami;Maaf, apakah kamu tahu mengenai terbaru tentang perubahan jadwal kuliah kami?
hayapakpolisiapakahkamumelihatmobilmerekahondasayayangdicuribegitu;Hai, Pak polisi, apakah kamu melihat mobil merek Honda saya yang dicuri begitu?
bisakahakumemintanomorurutankutogeltahunkamuterbarusebentarlagi;Bisakah aku minta nomor urutanku togel tahun kamu terbaru sebentar lagi?
apakahkamubisamenolongkumencarikanbajuterbarukhususuntukpesta;Apakah kamu bisa menolongku mencarikan baju terbaru khusus untuk pesta?
terimakasihataswaktudanperhatianyadalammenjawabpertanyaankupadahariini;Terima kasih atas waktu dan perhatianya dalam menjawab pertanyaanku pada hari ini.
hayapakimigrasibisakahkamumemberikankulihatkalimatbenardisuratini;Hai, Pak imigrasi, bisakah kamu memberikan ku lihat kalimat benar di surat ini?
jangangembirakanakudengankabarbahwakamumudahkeselamatan;Jangan menggembirakan aku dengan kabar bahwa kamu mudah keselamatan.
apakahakuperlumengisiulangpulsauntukmenggunakantelponinikembali;Apakah aku perlu mengisi ulang pulsa untuk menggunakantelpon ini kembali?
haykamuapakahkamuberencanamenghadiriperayaaanmakanmalambersamaku;Hai, kamuapakah kamu berencana menghadiri perayaan makan malam bersamaku?
apakahkamumemberitahukuperubahandalamjadwalpertemuanterbarumini;Apakah kamu memberitahu perubahan dalam jadwal pertemuan terbaru ini?
haysebelumnyaterimakasihbanyakatasbantuanmudalammengerjakantugasini;Hai, sebelumnya terima kasih banyak atas bantuanmu dalam mengerjakan tugas ini.
janganlupamenyimpanalamatrumahkuuntukdalamkontakdariteleponkamu;Jangan lupa menyimpan alamat rumahku dalam kontak dari telepon kamu.
bisakahakumintabantuanmudalammengevaluasikomponenhargaterbarudariin;Bisakah aku minta bantuanmu dalam mengevaluasi komponen harga terbaru dari ini?
apakahbukunyadikembalikankeperpusatasebentarlagisupayakitabisaikutke;Apakah buku sudah dikembalikan ke perpustakaan sebentar lagi supaya kita bisa ikut ke?
hayapakpelayansilengkapkahbarang-barangpesanankukalini;Hai, Pak pelayan, lengkapi kah barang-barang pesanan ku ini?
apakahakumemberikankuinformasiterkaitacarapemesanantiketpesawatini;Apakah aku memberikan informasi terkait cara pemesanan tiket pesawat ini?
haysebelumnyasayamembayarsukarelawandarikuuntukmenolongakumundur;Hai, sebelumnya, saya membayar sukarelawan dari dariku untuk menolong aku mundur.
apakahkamumendengarmusikterbaruterbarudarigrupbandkesukaankuini;Apakah kamu mendengar musik terbaru terbaru dari grup band kesukaanku ini?
terimakasihbanyaktelahmenemanisayadalamperjalananbertemudarimu;Terima kasih banyak telah menemani saya dalam perjalanan bertemu denganmu.
haytemanberikanakupendapatmuuntukpermasalahaninisebentarlagi;Hai, teman, berikan aku pendapatmu untuk permasalahan ini sebentar lagi.
bisakahakumenggunakanlayananpengantarkamuguntukmembelikanmakanan;Bisakah aku menggunakan layanan pengantarmu untuk membelikan makanan?
apakabarbukumuterkiniapakahmasihberadamenguntungkan;Apa kabar buku mu terkini? Apakah masih berada menguntungkan?
bisakahkamumemberitahukanpadakasirdapatkahkupesanmakanansesuaidengankebutuhanrantangan;Bisakah kamu memberitahukan pada kasir, dapatkah ku pesan makanan sesuai dengan kebutuhan rantangan?
hay,apakabsayakabardisanaapakahkamumaukeluarberjalan-jalankalini;Hai, apa kabar sayaku di sana? Apakah kamu mau keluar berjalan-jalan kali ini?
terimakasihakumemintaandapatmenemanisayamengevaluasiprojekkami;Terima kasih, aku meminta and dapat menemani saya mengevaluasi proyek kami.
maafakumemintamarekaberikanuangkemudianbisakahakumemintaborongantersebut;Maaf aku minta mareka berikan uang kemudian bisakah aku minta borongan tersebut?
janganlupakembalikanbukuyangakupinjampadaperpustakaansebentarlagi;Jangan lupa kembalikan buku yang aku pinjam pada perpustakaan sebentar lagi.
bisakahkamumembantusayamencarikaninformasitentangtiketpesawattujuanini;Bisakah kamu membantu saya mencarikan informasi tentang tiket pesawat tujuan ini?
apakahkamumengertitempatparkirdirekomendasikandalamkotaini;Apakah kamu mengerti tempat parkir direkomendasikan dalam kota ini?
hay,apakahbukusudahkudengarberitaterkaitpemutaranfilmdiarea;Hai, apakah kamu sudah kudengar berita terkait pemutaran film di area ini?
terimakasihakumintabantuanmuuntukmengaturjadwalpertemuanbesok;Terima kasih aku minta bantuanmu untuk mengatur jadwal pertemuan besok.
maafapakakubelummengucapkanterimakasihatasbantuanmuketugastugasini;Maaf, apakah aku belum mengucapkan terima kasih atas bantuanmu terhadap tugas ini.
apakahkamumaukepestaolehtemanseangkatbambosetim;Apakah kamu mau ke pesta oleh teman seangkat bambosetim?
hayterimakasihataswaktudanperhatianyadalammenjawabpertanyaan-pertanyaanku;Hai, terima kasih atas waktu dan perhatianya dalam menjawab pertanyaan-pertanyaanku.
bisakahkamumembantukumencarisebuahacarayangbisaakukunjungi;Bisakah kamu membantu ku mencari sebuah acara yang bisa aku kunjungi?
apakahkamumaukesinidanmencaritempatmakanterbaikdiarea;Apakah kamu mau ke sinidan mencari tempat makan terbaik di area ini?
terimakasihakumintamasukkemallangsungsetelahbanyakmembelanjakanuang;Terima kasih aku minta masuk ke mall langsung setelah banyak membayarkan uang.
maafapakahakumendapatbantuandarimudalammasalahinisebentarlagi;Maaf, apakah aku mendapat bantuan darimu dalam masalah ini sebentar lagi?
bisakahkamumembantukukonfirmasikantanggaljadwalyangterbaruberikut;Bisakah kamu membantu ku konfirmasikan tanggal jadwal yang terbaru berikut?
apakahkamutahumengenaiberitaterbarutentangartispopuleryangsedangtren;Apakah kamu tahu mengenai berita terbaru tentang artis populer yang sedang tren?
terimakasihakumintabantuanmusaatkumencarikotakpenyimpananini;Terima kasih aku minta bantuanmu saat ku mencari kotak penyimpanan ini.
apakahkamusudahmendapatkantiketuntukkonsermusiktersebut;Apakah kamu sudah mendapatkan tiket untuk konser musik tersebut?
bisakahkamumemintabantuanakudalammenyusunpresentasiberikutini;Bisakah kamu meminta bantuan aku dalam menyusun presentasi berikut ini?
jangankhawatirakusudahmenyediakanmakananuntukkamu;Jangan khawatir, aku sudah menyediakan makanan untuk kamu.
haymaafakudatangtelatkepertemuaninikarenamackamumerubahjadwalnya;Hai, maaf aku datang telat ke pertemuan ini karena kamu merubah jadwalnya.
bisakahakumemintakamuuntukmemperbaikiprosesproduksikamuyanglemotini;Bisakah aku meminta kamu untuk memperbaiki proses produksi kamu yang lemot ini?
apakahkamusudahmenghubungianakkamusebentarlagi;Apakah kamu sudah menghubungi anak kamu sebentar lagi?
terimakasihbanyakakudapatbantuanmuuntukmengatasiprosesini;Terima kasih banyak, aku dapat bantuanmu untuk mengatasi proses ini.
hayakukirimbukudariperpustakaankamusampaimumembutuhkannya;Hai, aku kirim buku dari perpustakaan kamu sampai kamu membutuhkannya.
apakahkamuakanmenghadiriperayaanulangtahunkamubesokini;Apakah kamu akan menghadiri perayaan ulang tahun kamu besok ini?
bisakahkamumemberikankukontakdaridokterterkenalbagikonsultasimedisku;Bisakah kamu memberikan aku kontak dari dokter terkenal bagi konsultasi medis ku?
jangankaukesalkanakumengingatkanuntukmelakukanpekerjaanrumah;Jangankau kesal, aku mengingatkan untuk melakukan pekerjaan rumah.
apakahkamuakantinggalkankamudanpindahketerbaruberikutnya;Apakah kamu akan tinggalkan kamu dan pindah ke tempat baru berikutnya?
